,Date,Day(Eng),Day(Nufi),Date (Jour-Mois-Annee),Date (yyyy-mm-dd),Nufi_Date,Nufi_Full_Date
22,January 23 1900,Tuesday,Nkɑ́ɑ́tēē,23-01-1900,1900 January 23,"līē' 23, Ngù'fī, Ngù' 1900","Nkɑ́ɑ́tēē, līē' 23, Ngù'fī, Ngù' 1900"
23,January 24 1900,Wednesday,Nshwīe'ko,24-01-1900,1900 January 24,"līē' 24, Ngù'fī, Ngù' 1900","Nshwīe'ko, līē' 24, Ngù'fī, Ngù' 1900"
24,January 25 1900,Thursday,Ncômntēē,25-01-1900,1900 January 25,"līē' 25, Ngù'fī, Ngù' 1900","Ncômntēē, līē' 25, Ngù'fī, Ngù' 1900"
25,January 26 1900,Friday,Nzîngū,26-01-1900,1900 January 26,"līē' 26, Ngù'fī, Ngù' 1900","Nzîngū, līē' 26, Ngù'fī, Ngù' 1900"
26,January 27 1900,Saturday,Nzîsō,27-01-1900,1900 January 27,"līē' 27, Ngù'fī, Ngù' 1900","Nzîsō, līē' 27, Ngù'fī, Ngù' 1900"
27,January 28 1900,Sunday,Nthʉ̂'kwɑ̀,28-01-1900,1900 January 28,"līē' 28, Ngù'fī, Ngù' 1900","Nthʉ̂'kwɑ̀, līē' 28, Ngù'fī, Ngù' 1900"
28,January 29 1900,Monday,Nthʉ̂'ntāā,29-01-1900,1900 January 29,"līē' 29, Ngù'fī, Ngù' 1900","Nthʉ̂'ntāā, līē' 29, Ngù'fī, Ngù' 1900"
29,January 30 1900,Tuesday,Líé'nkwe',30-01-1900,1900 January 30,"līē' 30, Ngù'fī, Ngù' 1900","Líé'nkwe', līē' 30, Ngù'fī, Ngù' 1900"
30,January 31 1900,Wednesday,Nkɑ́ɑ́tēē,31-01-1900,1900 January 31,"līē' 31, Ngù'fī, Ngù' 1900","Nkɑ́ɑ́tēē, līē' 31, Ngù'fī, Ngù' 1900"
0,February 1 1900,Thursday,Nshwīe'ko,01-02-1900,1900 February 01,"Ntûmbhì līē', Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nshwīe'ko, Ntûmbhì līē', Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
1,February 2 1900,Friday,Ncômntēē,02-02-1900,1900 February 02,"līē' 2, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Ncômntēē, līē' 2, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
2,February 3 1900,Saturday,Nzîngū,03-02-1900,1900 February 03,"līē' 3, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nzîngū, līē' 3, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
3,February 4 1900,Sunday,Nzîsō,04-02-1900,1900 February 04,"līē' 4, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nzîsō, līē' 4, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
4,February 5 1900,Monday,Nthʉ̂'kwɑ̀,05-02-1900,1900 February 05,"līē' 5, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nthʉ̂'kwɑ̀, līē' 5, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
5,February 6 1900,Tuesday,Nthʉ̂'ntāā,06-02-1900,1900 February 06,"līē' 6, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nthʉ̂'ntāā, līē' 6, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
6,February 7 1900,Wednesday,Líé'nkwe',07-02-1900,1900 February 07,"līē' 7, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Líé'nkwe', līē' 7, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
7,February 8 1900,Thursday,Nkɑ́ɑ́tēē,08-02-1900,1900 February 08,"līē' 8, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nkɑ́ɑ́tēē, līē' 8, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
8,February 9 1900,Friday,Nshwīe'ko,09-02-1900,1900 February 09,"līē' 9, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nshwīe'ko, līē' 9, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
9,February 10 1900,Saturday,Ncômntēē,10-02-1900,1900 February 10,"līē' 10, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Ncômntēē, līē' 10, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
10,February 11 1900,Sunday,Nzîngū,11-02-1900,1900 February 11,"līē' 11, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nzîngū, līē' 11, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
11,February 12 1900,Monday,Nzîsō,12-02-1900,1900 February 12,"līē' 12, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nzîsō, līē' 12, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
12,February 13 1900,Tuesday,Nthʉ̂'kwɑ̀,13-02-1900,1900 February 13,"līē' 13, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nthʉ̂'kwɑ̀, līē' 13, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
13,February 14 1900,Wednesday,Nthʉ̂'ntāā,14-02-1900,1900 February 14,"līē' 14, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nthʉ̂'ntāā, līē' 14, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
14,February 15 1900,Thursday,Líé'nkwe',15-02-1900,1900 February 15,"līē' 15, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Líé'nkwe', līē' 15, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
15,February 16 1900,Friday,Nkɑ́ɑ́tēē,16-02-1900,1900 February 16,"līē' 16, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nkɑ́ɑ́tēē, līē' 16, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
16,February 17 1900,Saturday,Nshwīe'ko,17-02-1900,1900 February 17,"līē' 17, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nshwīe'ko, līē' 17, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
17,February 18 1900,Sunday,Ncômntēē,18-02-1900,1900 February 18,"līē' 18, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Ncômntēē, līē' 18, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
18,February 19 1900,Monday,Nzîngū,19-02-1900,1900 February 19,"līē' 19, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nzîngū, līē' 19, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
19,February 20 1900,Tuesday,Nzîsō,20-02-1900,1900 February 20,"līē' 20, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nzîsō, līē' 20, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
20,February 21 1900,Wednesday,Nthʉ̂'kwɑ̀,21-02-1900,1900 February 21,"līē' 21, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nthʉ̂'kwɑ̀, līē' 21, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
21,February 22 1900,Thursday,Nthʉ̂'ntāā,22-02-1900,1900 February 22,"līē' 22, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nthʉ̂'ntāā, līē' 22, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
22,February 23 1900,Friday,Líé'nkwe',23-02-1900,1900 February 23,"līē' 23, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Líé'nkwe', līē' 23, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
23,February 24 1900,Saturday,Nkɑ́ɑ́tēē,24-02-1900,1900 February 24,"līē' 24, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nkɑ́ɑ́tēē, līē' 24, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
24,February 25 1900,Sunday,Nshwīe'ko,25-02-1900,1900 February 25,"līē' 25, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nshwīe'ko, līē' 25, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
25,February 26 1900,Monday,Ncômntēē,26-02-1900,1900 February 26,"līē' 26, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Ncômntēē, līē' 26, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
26,February 27 1900,Tuesday,Nzîngū,27-02-1900,1900 February 27,"līē' 27, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nzîngū, līē' 27, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
27,February 28 1900,Wednesday,Nzîsō,28-02-1900,1900 February 28,"līē' 28, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900","Nzîsō, līē' 28, Nkùɑ̀nʉ̀ɑ̀, Ngù' 1900"
0,March 1 1900,Thursday,Nthʉ̂'kwɑ̀,01-03-1900,1900 March 01,"Ntûmbhì līē', Mbàkngòfāt, Ngù' 1900","Nthʉ̂'kwɑ̀, Ntûmbhì līē', Mbàkngòfāt, Ngù' 1900"
1,March 2 1900,Friday,Nthʉ̂'ntāā,02-03-1900,1900 March 02,"līē' 2, Mbàkngòfāt, Ngù' 1900","Nthʉ̂'ntāā, līē' 2, Mbàkngòfāt, Ngù' 1900"
2,March 3 1900,Saturday,Líé'nkwe',03-03-1900,1900 March 03,"līē' 3, Mbàkngòfāt, Ngù' 1900","Líé'nkwe', līē' 3, Mbàkngòfāt, Ngù' 1900"
3,March 4 1900,Sunday,Nkɑ́ɑ́tēē,04-03-1900,1900 March 04,"līē' 4, Mbàkngòfāt, Ngù' 1900","Nkɑ́ɑ́tēē, līē' 4, Mbàkngòfāt, Ngù' 1900"
4,March 5 1900,Monday,Nshwīe'ko,05-03-1900,1900 March 05,"līē' 5, Mbàkngòfāt, Ngù' 1900","Nshwīe'ko, līē' 5, Mbàkngòfāt, Ngù' 1900"
5,March 6 1900,Tuesday,Ncômntēē,06-03-1900,1900 March 06,"līē' 6, Mbàkngòfāt, Ngù' 1900","Ncômntēē, līē' 6, Mbàkngòfāt, Ngù' 1900"
6,March 7 1900,Wednesday,Nzîngū,07-03-1900,1900 March 07,"līē' 7, Mbàkngòfāt, Ngù' 1900","Nzîngū, līē' 7, Mbàkngòfāt, Ngù' 1900"
7,March 8 1900,Thursday,Nzîsō,08-03-1900,1900 March 08,"līē' 8, Mbàkngòfāt, Ngù' 1900","Nzîsō, līē' 8, Mbàkngòfāt, Ngù' 1900"
8,March 9 1900,Friday,Nthʉ̂'kwɑ̀,09-03-1900,1900 March 09,"līē' 9, Mbàkngòfāt, Ngù' 1900","Nthʉ̂'kwɑ̀, līē' 9, Mbàkngòfāt, Ngù' 1900"
9,March 10 1900,Saturday,Nthʉ̂'ntāā,10-03-1900,1900 March 10,"līē' 10, Mbàkngòfāt, Ngù' 1900","Nthʉ̂'ntāā, līē' 10, Mbàkngòfāt, Ngù' 1900"
10,March 11 1900,Sunday,Líé'nkwe',11-03-1900,1900 March 11,"līē' 11, Mbàkngòfāt, Ngù' 1900","Líé'nkwe', līē' 11, Mbàkngòfāt, Ngù' 1900"
11,March 12 1900,Monday,Nkɑ́ɑ́tēē,12-03-1900,1900 March 12,"līē' 12, Mbàkngòfāt, Ngù' 1900","Nkɑ́ɑ́tēē, līē' 12, Mbàkngòfāt, Ngù' 1900"
12,March 13 1900,Tuesday,Nshwīe'ko,13-03-1900,1900 March 13,"līē' 13, Mbàkngòfāt, Ngù' 1900","Nshwīe'ko, līē' 13, Mbàkngòfāt, Ngù' 1900"
13,March 14 1900,Wednesday,Ncômntēē,14-03-1900,1900 March 14,"līē' 14, Mbàkngòfāt, Ngù' 1900","Ncômntēē, līē' 14, Mbàkngòfāt, Ngù' 1900"
14,March 15 1900,Thursday,Nzîngū,15-03-1900,1900 March 15,"līē' 15, Mbàkngòfāt, Ngù' 1900","Nzîngū, līē' 15, Mbàkngòfāt, Ngù' 1900"
15,March 16 1900,Friday,Nzîsō,16-03-1900,1900 March 16,"līē' 16, Mbàkngòfāt, Ngù' 1900","Nzîsō, līē' 16, Mbàkngòfāt, Ngù' 1900"
16,March 17 1900,Saturday,Nthʉ̂'kwɑ̀,17-03-1900,1900 March 17,"līē' 17, Mbàkngòfāt, Ngù' 1900","Nthʉ̂'kwɑ̀, līē' 17, Mbàkngòfāt, Ngù' 1900"
17,March 18 1900,Sunday,Nthʉ̂'ntāā,18-03-1900,1900 March 18,"līē' 18, Mbàkngòfāt, Ngù' 1900","Nthʉ̂'ntāā, līē' 18, Mbàkngòfāt, Ngù' 1900"
18,March 19 1900,Monday,Líé'nkwe',19-03-1900,1900 March 19,"līē' 19, Mbàkngòfāt, Ngù' 1900","Líé'nkwe', līē' 19, Mbàkngòfāt, Ngù' 1900"
19,March 20 1900,Tuesday,Nkɑ́ɑ́tēē,20-03-1900,1900 March 20,"līē' 20, Mbàkngòfāt, Ngù' 1900","Nkɑ́ɑ́tēē, līē' 20, Mbàkngòfāt, Ngù' 1900"
20,March 21 1900,Wednesday,Nshwīe'ko,21-03-1900,1900 March 21,"līē' 21, Mbàkngòfāt, Ngù' 1900","Nshwīe'ko, līē' 21, Mbàkngòfāt, Ngù' 1900"
21,March 22 1900,Thursday,Ncômntēē,22-03-1900,1900 March 22,"līē' 22, Mbàkngòfāt, Ngù' 1900","Ncômntēē, līē' 22, Mbàkngòfāt, Ngù' 1900"
22,March 23 1900,Friday,Nzîngū,23-03-1900,1900 March 23,"līē' 23, Mbàkngòfāt, Ngù' 1900","Nzîngū, līē' 23, Mbàkngòfāt, Ngù' 1900"
23,March 24 1900,Saturday,Nzîsō,24-03-1900,1900 March 24,"līē' 24, Mbàkngòfāt, Ngù' 1900","Nzîsō, līē' 24, Mbàkngòfāt, Ngù' 1900"
24,March 25 1900,Sunday,Nthʉ̂'kwɑ̀,25-03-1900,1900 March 25,"līē' 25, Mbàkngòfāt, Ngù' 1900","Nthʉ̂'kwɑ̀, līē' 25, Mbàkngòfāt, Ngù' 1900"
25,March 26 1900,Monday,Nthʉ̂'ntāā,26-03-1900,1900 March 26,"līē' 26, Mbàkngòfāt, Ngù' 1900","Nthʉ̂'ntāā, līē' 26, Mbàkngòfāt, Ngù' 1900"
26,March 27 1900,Tuesday,Líé'nkwe',27-03-1900,1900 March 27,"līē' 27, Mbàkngòfāt, Ngù' 1900","Líé'nkwe', līē' 27, Mbàkngòfāt, Ngù' 1900"
27,March 28 1900,Wednesday,Nkɑ́ɑ́tēē,28-03-1900,1900 March 28,"līē' 28, Mbàkngòfāt, Ngù' 1900","Nkɑ́ɑ́tēē, līē' 28, Mbàkngòfāt, Ngù' 1900"
28,March 29 1900,Thursday,Nshwīe'ko,29-03-1900,1900 March 29,"līē' 29, Mbàkngòfāt, Ngù' 1900","Nshwīe'ko, līē' 29, Mbàkngòfāt, Ngù' 1900"
29,March 30 1900,Friday,Ncômntēē,30-03-1900,1900 March 30,"līē' 30, Mbàkngòfāt, Ngù' 1900","Ncômntēē, līē' 30, Mbàkngòfāt, Ngù' 1900"
30,March 31 1900,Saturday,Nzîngū,31-03-1900,1900 March 31,"līē' 31, Mbàkngòfāt, Ngù' 1900","Nzîngū, līē' 31, Mbàkngòfāt, Ngù' 1900"
0,April 1 1900,Sunday,Nzîsō,01-04-1900,1900 April 01,"Ntûmbhì līē', Sò'njɑ̀ɑ̀, Ngù' 1900","Nzîsō, Ntûmbhì līē', Sò'njɑ̀ɑ̀, Ngù' 1900"
1,April 2 1900,Monday,Nthʉ̂'kwɑ̀,02-04-1900,1900 April 02,"līē' 2, Sò'njɑ̀ɑ̀, Ngù' 1900","Nthʉ̂'kwɑ̀, līē' 2, Sò'njɑ̀ɑ̀, Ngù' 1900"
2,April 3 1900,Tuesday,Nthʉ̂'ntāā,03-04-1900,1900 April 03,"līē' 3, Sò'njɑ̀ɑ̀, Ngù' 1900","Nthʉ̂'ntāā, līē' 3, Sò'njɑ̀ɑ̀, Ngù' 1900"
3,April 4 1900,Wednesday,Líé'nkwe',04-04-1900,1900 April 04,"līē' 4, Sò'njɑ̀ɑ̀, Ngù' 1900","Líé'nkwe', līē' 4, Sò'njɑ̀ɑ̀, Ngù' 1900"
4,April 5 1900,Thursday,Nkɑ́ɑ́tēē,05-04-1900,1900 April 05,"līē' 5, Sò'njɑ̀ɑ̀, Ngù' 1900","Nkɑ́ɑ́tēē, līē' 5, Sò'njɑ̀ɑ̀, Ngù' 1900"
5,April 6 1900,Friday,Nshwīe'ko,06-04-1900,1900 April 06,"līē' 6, Sò'njɑ̀ɑ̀, Ngù' 1900","Nshwīe'ko, līē' 6, Sò'njɑ̀ɑ̀, Ngù' 1900"
6,April 7 1900,Saturday,Ncômntēē,07-04-1900,1900 April 07,"līē' 7, Sò'njɑ̀ɑ̀, Ngù' 1900","Ncômntēē, līē' 7, Sò'njɑ̀ɑ̀, Ngù' 1900"
7,April 8 1900,Sunday,Nzîngū,08-04-1900,1900 April 08,"līē' 8, Sò'njɑ̀ɑ̀, Ngù' 1900","Nzîngū, līē' 8, Sò'njɑ̀ɑ̀, Ngù' 1900"
8,April 9 1900,Monday,Nzîsō,09-04-1900,1900 April 09,"līē' 9, Sò'njɑ̀ɑ̀, Ngù' 1900","Nzîsō, līē' 9, Sò'njɑ̀ɑ̀, Ngù' 1900"
9,April 10 1900,Tuesday,Nthʉ̂'kwɑ̀,10-04-1900,1900 April 10,"līē' 10, Sò'njɑ̀ɑ̀, Ngù' 1900","Nthʉ̂'kwɑ̀, līē' 10, Sò'njɑ̀ɑ̀, Ngù' 1900"
10,April 11 1900,Wednesday,Nthʉ̂'ntāā,11-04-1900,1900 April 11,"līē' 11, Sò'njɑ̀ɑ̀, Ngù' 1900","Nthʉ̂'ntāā, līē' 11, Sò'njɑ̀ɑ̀, Ngù' 1900"
11,April 12 1900,Thursday,Líé'nkwe',12-04-1900,1900 April 12,"līē' 12, Sò'njɑ̀ɑ̀, Ngù' 1900","Líé'nkwe', līē' 12, Sò'njɑ̀ɑ̀, Ngù' 1900"
12,April 13 1900,Friday,Nkɑ́ɑ́tēē,13-04-1900,1900 April 13,"līē' 13, Sò'njɑ̀ɑ̀, Ngù' 1900","Nkɑ́ɑ́tēē, līē' 13, Sò'njɑ̀ɑ̀, Ngù' 1900"
13,April 14 1900,Saturday,Nshwīe'ko,14-04-1900,1900 April 14,"līē' 14, Sò'njɑ̀ɑ̀, Ngù' 1900","Nshwīe'ko, līē' 14, Sò'njɑ̀ɑ̀, Ngù' 1900"
14,April 15 1900,Sunday,Ncômntēē,15-04-1900,1900 April 15,"līē' 15, Sò'njɑ̀ɑ̀, Ngù' 1900","Ncômntēē, līē' 15, Sò'njɑ̀ɑ̀, Ngù' 1900"
15,April 16 1900,Monday,Nzîngū,16-04-1900,1900 April 16,"līē' 16, Sò'njɑ̀ɑ̀, Ngù' 1900","Nzîngū, līē' 16, Sò'njɑ̀ɑ̀, Ngù' 1900"
16,April 17 1900,Tuesday,Nzîsō,17-04-1900,1900 April 17,"līē' 17, Sò'njɑ̀ɑ̀, Ngù' 1900","Nzîsō, līē' 17, Sò'njɑ̀ɑ̀, Ngù' 1900"
17,April 18 1900,Wednesday,Nthʉ̂'kwɑ̀,18-04-1900,1900 April 18,"līē' 18, Sò'njɑ̀ɑ̀, Ngù' 1900","Nthʉ̂'kwɑ̀, līē' 18, Sò'njɑ̀ɑ̀, Ngù' 1900"
18,April 19 1900,Thursday,Nthʉ̂'ntāā,19-04-1900,1900 April 19,"līē' 19, Sò'njɑ̀ɑ̀, Ngù' 1900","Nthʉ̂'ntāā, līē' 19, Sò'njɑ̀ɑ̀, Ngù' 1900"
19,April 20 1900,Friday,Líé'nkwe',20-04-1900,1900 April 20,"līē' 20, Sò'njɑ̀ɑ̀, Ngù' 1900","Líé'nkwe', līē' 20, Sò'njɑ̀ɑ̀, Ngù' 1900"
20,April 21 1900,Saturday,Nkɑ́ɑ́tēē,21-04-1900,1900 April 21,"līē' 21, Sò'njɑ̀ɑ̀, Ngù' 1900","Nkɑ́ɑ́tēē, līē' 21, Sò'njɑ̀ɑ̀, Ngù' 1900"
21,April 22 1900,Sunday,Nshwīe'ko,22-04-1900,1900 April 22,"līē' 22, Sò'njɑ̀ɑ̀, Ngù' 1900","Nshwīe'ko, līē' 22, Sò'njɑ̀ɑ̀, Ngù' 1900"
22,April 23 1900,Monday,Ncômntēē,23-04-1900,1900 April 23,"līē' 23, Sò'njɑ̀ɑ̀, Ngù' 1900","Ncômntēē, līē' 23, Sò'njɑ̀ɑ̀, Ngù' 1900"
23,April 24 1900,Tuesday,Nzîngū,24-04-1900,1900 April 24,"līē' 24, Sò'njɑ̀ɑ̀, Ngù' 1900","Nzîngū, līē' 24, Sò'njɑ̀ɑ̀, Ngù' 1900"
24,April 25 1900,Wednesday,Nzîsō,25-04-1900,1900 April 25,"līē' 25, Sò'njɑ̀ɑ̀, Ngù' 1900","Nzîsō, līē' 25, Sò'njɑ̀ɑ̀, Ngù' 1900"
25,April 26 1900,Thursday,Nthʉ̂'kwɑ̀,26-04-1900,1900 April 26,"līē' 26, Sò'njɑ̀ɑ̀, Ngù' 1900","Nthʉ̂'kwɑ̀, līē' 26, Sò'njɑ̀ɑ̀, Ngù' 1900"
26,April 27 1900,Friday,Nthʉ̂'ntāā,27-04-1900,1900 April 27,"līē' 27, Sò'njɑ̀ɑ̀, Ngù' 1900","Nthʉ̂'ntāā, līē' 27, Sò'njɑ̀ɑ̀, Ngù' 1900"
27,April 28 1900,Saturday,Líé'nkwe',28-04-1900,1900 April 28,"līē' 28, Sò'njɑ̀ɑ̀, Ngù' 1900","Líé'nkwe', līē' 28, Sò'njɑ̀ɑ̀, Ngù' 1900"
28,April 29 1900,Sunday,Nkɑ́ɑ́tēē,29-04-1900,1900 April 29,"līē' 29, Sò'njɑ̀ɑ̀, Ngù' 1900","Nkɑ́ɑ́tēē, līē' 29, Sò'njɑ̀ɑ̀, Ngù' 1900"
29,April 30 1900,Monday,Nshwīe'ko,30-04-1900,1900 April 30,"līē' 30, Sò'njɑ̀ɑ̀, Ngù' 1900","Nshwīe'ko, līē' 30, Sò'njɑ̀ɑ̀, Ngù' 1900"
0,May 1 1900,Tuesday,Ncômntēē,01-05-1900,1900 May 01,"Ntûmbhì līē', Njwēnɑ̌hntà', Ngù' 1900","Ncômntēē, Ntûmbhì līē', Njwēnɑ̌hntà', Ngù' 1900"
1,May 2 1900,Wednesday,Nzîngū,02-05-1900,1900 May 02,"līē' 2, Njwēnɑ̌hntà', Ngù' 1900","Nzîngū, līē' 2, Njwēnɑ̌hntà', Ngù' 1900"
2,May 3 1900,Thursday,Nzîsō,03-05-1900,1900 May 03,"līē' 3, Njwēnɑ̌hntà', Ngù' 1900","Nzîsō, līē' 3, Njwēnɑ̌hntà', Ngù' 1900"
3,May 4 1900,Friday,Nthʉ̂'kwɑ̀,04-05-1900,1900 May 04,"līē' 4, Njwēnɑ̌hntà', Ngù' 1900","Nthʉ̂'kwɑ̀, līē' 4, Njwēnɑ̌hntà', Ngù' 1900"
4,May 5 1900,Saturday,Nthʉ̂'ntāā,05-05-1900,1900 May 05,"līē' 5, Njwēnɑ̌hntà', Ngù' 1900","Nthʉ̂'ntāā, līē' 5, Njwēnɑ̌hntà', Ngù' 1900"
